Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Bananas,Retail,15/01/2021,Weekly,10.000000,Unit,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Bananas,Retail,15/03/2021,Weekly,10.000000,Unit,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Bananas,Retail,15/04/2021,Weekly,10.000000,Unit,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Bananas,Retail,15/08/2021,Weekly,10.000000,Unit,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Bananas,Retail,15/09/2021,Weekly,10.000000,Unit,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Bananas,Retail,15/10/2021,Weekly,10.000000,Unit,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Bananas,Retail,15/11/2021,Weekly,10.000000,Unit,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15/01/2021,Weekly,80.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15/03/2021,Weekly,100.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15/04/2021,Weekly,106.363638,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15/08/2021,Weekly,111.333333,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15/09/2021,Weekly,106.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Beans (dry),Retail,15/10/2021,Weekly,120.000000,KG,KES,WFP,,,,Aggregated,,,
